drug_id,disease_id,disease_name,max_phase,drug_name
CHEMBL1201581,EFO_0000384,Crohn's disease,4.0,INFLIXIMAB
CHEMBL1201581,EFO_0000676,psoriasis,4.0,INFLIXIMAB
CHEMBL1201581,EFO_0000685,rheumatoid arthritis,4.0,INFLIXIMAB
CHEMBL1201581,EFO_0000729,ulcerative colitis,4.0,INFLIXIMAB
CHEMBL1201631,EFO_0000400,diabetes mellitus,4.0,INSULIN HUMAN
CHEMBL1201631,HP_0003074,Hyperglycemia,3.0,INSULIN HUMAN
CHEMBL1201558,EFO_0003047,hepatitis C virus infection,3.0,
CHEMBL1201558,EFO_0000616,neoplasm,4.0,
CHEMBL1789844,EFO_0000756,melanoma,4.0,IPILIMUMAB
CHEMBL2134724,EFO_0000341,chronic obstructive pulmonary disease,4.0,IPRATROPIUM BROMIDE
CHEMBL1513,EFO_0000275,atrial fibrillation,3.0,IRBESARTAN
CHEMBL1513,EFO_0000537,hypertension,4.0,IRBESARTAN
CHEMBL1201752,EFO_0000305,breast carcinoma,4.0,
CHEMBL571,HP_0003326,Myalgia,4.0,
CHEMBL1201124,EFO_0003843,pain,4.0,
CHEMBL741,EFO_0000474,epilepsy,4.0,
CHEMBL480,EFO_0003948,gastroesophageal reflux disease,4.0,
CHEMBL1201179,EFO_0000305,breast carcinoma,4.0,LAPATINIB DITOSYLATE
CHEMBL1444,EFO_0000305,breast carcinoma,4.0,LETROZOLE
CHEMBL1444,EFO_0000545,infertility,3.0,LETROZOLE
CHEMBL1200775,EFO_0001663,prostate carcinoma,4.0,LEUPROLIDE ACETATE
CHEMBL1201190,EFO_0003956,seasonal allergic rhinitis,4.0,LEVOCETIRIZINE DIHYDROCHLORIDE
CHEMBL2103741,EFO_0004705,hypothyroidism,4.0,
CHEMBL79,EFO_0004616,"osteoarthritis, knee",3.0,
CHEMBL79,EFO_0003843,pain,4.0,
CHEMBL79,EFO_0003100,peripheral neuropathy,3.0,
CHEMBL3301675,EFO_0000555,irritable bowel syndrome,4.0,LINACLOTIDE
CHEMBL4084119,EFO_0002546,abnormal glucose tolerance,3.0,LIRAGLUTIDE
CHEMBL4084119,EFO_0000400,diabetes mellitus,4.0,LIRAGLUTIDE
CHEMBL1201178,EFO_0003888,attention deficit hyperactivity disorder,4.0,LISDEXAMFETAMINE DIMESYLATE
CHEMBL419213,EFO_0000537,hypertension,4.0,LISINOPRIL
CHEMBL580,EFO_0005230,anxiety,4.0,
CHEMBL995,EFO_0000537,hypertension,4.0,LOSARTAN POTASSIUM
